,0,1,2,3,4
924,Drama,,,,
925,Romance,,,,
926,Action,Comedy,Crime,Thriller,
928,Horror,,,,
929,Drama,Comedy,,,
930,Thriller,Action,Science Fiction,,
931,Comedy,Drama,Romance,,
932,Drama,,,,
933,Thriller,Drama,Romance,,
934,Family,Comedy,,,
936,Action,,,,
937,Crime,Thriller,,,
938,Thriller,Drama,,,
940,Drama,,,,
941,Action,Crime,Thriller,,
942,Horror,Romance,,,
943,Drama,,,,
944,Horror,Thriller,,,
945,Animation,Family,,,
946,Drama,Thriller,,,
947,Drama,,,,
949,TV Movie,Romance,Family,,
951,Horror,,,,
953,Mystery,Horror,Thriller,,
954,Comedy,,,,
955,Animation,Action,Adventure,,
956,Family,Adventure,Science Fiction,,
958,Adventure,Action,,,
960,Fantasy,Adventure,,,
963,Action,Horror,Science Fiction,,
964,Western,Action,Drama,Science Fiction,
965,Thriller,Drama,,,
966,TV Movie,Crime,Mystery,Thriller,
968,Comedy,Romance,,,
969,Family,Animation,Music,,
970,Action,Thriller,,,
971,Horror,,,,
972,Drama,Action,Adventure,,
973,Comedy,,,,
974,Thriller,,,,
975,Comedy,,,,
976,Thriller,Crime,Drama,,
977,Action,Drama,,,
979,Crime,Drama,Thriller,,
980,Drama,Comedy,,,
982,Thriller,Drama,,,
983,Comedy,,,,
984,Documentary,,,,
986,Comedy,,,,
987,Horror,Science Fiction,,,
989,Drama,,,,
990,Horror,,,,
991,Drama,,,,
992,Documentary,Drama,,,
993,Thriller,Horror,Mystery,,
994,Drama,Thriller,Action,,
995,Comedy,Romance,,,
996,Science Fiction,Adventure,Comedy,,
998,Science Fiction,Drama,Thriller,,
999,Comedy,Drama,,,
1001,Drama,Mystery,Thriller,TV Movie,
1002,Drama,Crime,TV Movie,,
1004,Science Fiction,,,,
1005,Comedy,Drama,Music,Romance,
1006,Drama,Comedy,,,
1007,Horror,,,,
1009,Romance,Drama,,,
1010,Action,Comedy,Horror,,
1011,Thriller,Horror,Science Fiction,,
1012,Horror,,,,
1014,Thriller,Horror,,,
1015,Drama,,,,
1017,Comedy,Family,Romance,,
1018,Romance,Comedy,,,
